reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,_scraped_country
9911d3dc-74d8-4865-be32-1653afd2c5d4,Matthew Gerrits,https://play-lh.googleusercontent.com/a-/ALV-UjWHUfryVSF6AjPSXJhCz4Dg-C1EQeVkBmcxfJYrXx3Gv7J383A,"Having paid a significant amount to Spotify over time, I'm disappointed that the app still seems to have trouble working over a home wifi network, even when other devices work, including for Spotify on those devices. Spotify said they fixed this over a year back and the problem has only been getting worse, even after a clean install.",2,0,9.1.60.1970,2026-06-28T21:53:06,"Hi Matthew. If you're having issues with your connection, we'd recommend checking your phone's settings and making sure that the Spotify app has access or permission to your mobile data. More help can be found on ""Spotify is offline"" or by reaching out to our Customer Service at support.spotify.com. Just search for ""Contact Us"".",2026-06-28T23:04:29,9.1.60.1970,gb
8cb5accc-5072-471e-8e7a-eab1ba38e1f7,Pumpkin-Lulu,https://play-lh.googleusercontent.com/a-/ALV-UjWjNP3Frm9oF9wxU3DmDLDUmGO4-_NGpmCI3hiEQ2mXAfI_X6M8,"I love Spotify and would definitely recommend it to other people, its one of the apps i use daily and constantly (to be honest its quite addictive to listen to your favourite songs on Spotify) one thing i would suggest is they should get people who are friends on Spotify to have a streak to listen to their songs like other apps. ✌🏻✌🏻✌🏻✌🏻",5,0,8.8.96.364,2026-06-28T21:52:48,,,8.8.96.364,gb
a267f19c-11b1-4abf-87ac-bd1ed05909c8,Savita Jain,https://play-lh.googleusercontent.com/a/ACg8ocKj3RRLwVx6M7Q3ZOo_bvviUx0Xz9_u6H3MyqBHbsOTx3EOrg=mo,very awesome,5,0,9.1.58.1567,2026-06-28T21:52:28,,,9.1.58.1567,gb
337de7bf-c683-49d0-aba8-da05fdb46d07,சுதாமன் இராமதாஸ்,https://play-lh.googleusercontent.com/a-/ALV-UjV6BLz1GlK3vzx-MhTvtnoaHHw47TX3D3zmPyDOF5JTwJnsm4ig,Nice app I can hear every tamil songs with good quality even old songs also,5,0,9.1.60.1970,2026-06-28T22:05:27,,,9.1.60.1970,de
129d9ce5-3ba0-4055-9e30-ab4d6549d068,Jacqualine ng,https://play-lh.googleusercontent.com/a-/ALV-UjVSjjP1JGiHRGT2nKEHJSjGHOKWk8A5c7wyKk4_u9ypHhewDJau,hungry 😋 🤤,5,0,9.1.60.1970,2026-06-28T22:02:09,,,9.1.60.1970,de
6281ed29-5063-4251-a985-40fed70a313e,KHAUHELO MOKHOABANE,https://play-lh.googleusercontent.com/a-/ALV-UjUzxHGc00zW4EEMfwNJ3yi2LjywWicXmoprbwsktqBfLIgz9nM,Money come to me 🙏,5,0,,2026-06-28T22:01:26,,,,de
1f6e774b-0e7f-4c58-aeeb-7fbd991fbca4,Trissanya McIntosh,https://play-lh.googleusercontent.com/a-/ALV-UjW8wn9ZGQb0IMDu3UVfkohb2ogaaKOTDY4ye3jxWMCk5dW3uY4,why am I paying for an app that only works when it feels like it?,3,0,9.1.60.1970,2026-06-28T22:00:52,,,9.1.60.1970,de
2e181d47-ccf4-4f51-90c1-923cea41213d,Debasish Majumder,https://play-lh.googleusercontent.com/a/ACg8ocJmobOEfaHbDK8JICNZiFsOzXIr5q6moX1lvTuQm4naQ2RHXw=mo,4 star coz too many ads and I don't have the choice to play the same song again and again without talking the subscription 😭 lmao....,4,0,9.1.58.1567,2026-06-28T21:58:06,,,9.1.58.1567,de
bc4fcd99-37b7-458e-8dd6-5528e710ae2f,Aayush Saini,https://play-lh.googleusercontent.com/a/ACg8ocLFEhVg2E9TLcdy4hz3CLdgK2sSU_HLpLpdSRCXHYzwFA_59w=mo,good,5,0,,2026-06-28T21:54:55,,,,de
7cf63291-ad5c-4121-87a6-9dbc48da4c9f,Bubbles,https://play-lh.googleusercontent.com/a-/ALV-UjWIIucv_82oqoyexbU1V9P0bQmZj4LnE3WZbeMNzN2T3skCq4M,"overall, good app, very organised and easy BUT they should add listening streaks with your selected friends (and you can have multiple friends and stuff on the same streak) :D",5,0,9.1.60.1970,2026-06-28T21:53:19,,,9.1.60.1970,de
9911d3dc-74d8-4865-be32-1653afd2c5d4,Matthew Gerrits,https://play-lh.googleusercontent.com/a-/ALV-UjWHUfryVSF6AjPSXJhCz4Dg-C1EQeVkBmcxfJYrXx3Gv7J383A,"Having paid a significant amount to Spotify over time, I'm disappointed that the app still seems to have trouble working over a home wifi network, even when other devices work, including for Spotify on those devices. Spotify said they fixed this over a year back and the problem has only been getting worse, even after a clean install.",2,0,9.1.60.1970,2026-06-28T21:53:06,"Hi Matthew. If you're having issues with your connection, we'd recommend checking your phone's settings and making sure that the Spotify app has access or permission to your mobile data. More help can be found on ""Spotify is offline"" or by reaching out to our Customer Service at support.spotify.com. Just search for ""Contact Us"".",2026-06-28T23:04:29,9.1.60.1970,de
8cb5accc-5072-471e-8e7a-eab1ba38e1f7,Pumpkin-Lulu,https://play-lh.googleusercontent.com/a-/ALV-UjWjNP3Frm9oF9wxU3DmDLDUmGO4-_NGpmCI3hiEQ2mXAfI_X6M8,"I love Spotify and would definitely recommend it to other people, its one of the apps i use daily and constantly (to be honest its quite addictive to listen to your favourite songs on Spotify) one thing i would suggest is they should get people who are friends on Spotify to have a streak to listen to their songs like other apps. ✌🏻✌🏻✌🏻✌🏻",5,0,8.8.96.364,2026-06-28T21:52:48,,,8.8.96.364,de
a267f19c-11b1-4abf-87ac-bd1ed05909c8,Savita Jain,https://play-lh.googleusercontent.com/a/ACg8ocKj3RRLwVx6M7Q3ZOo_bvviUx0Xz9_u6H3MyqBHbsOTx3EOrg=mo,very awesome,5,0,9.1.58.1567,2026-06-28T21:52:28,,,9.1.58.1567,de
1a0a959b-5417-48de-b614-7fc60d2022d8,Nayansi Malviya,https://play-lh.googleusercontent.com/a/ACg8ocIOAM_diDFNBZCjvYhiM5_SuuZzj5MOIqTDKaKR0Fih0UIo=mo,not good,1,0,9.1.60.1970,2026-06-28T22:07:36,,,9.1.60.1970,in
8c1e8938-c76c-411c-9edf-7acb3d6f9c55,Lakshmi Singh,https://play-lh.googleusercontent.com/a-/ALV-UjV-uGqejKuU_Dy2AjF9s6D52lqdTUd0nyfOyWN5WBXRUiIVFs6t,good app for song,5,0,9.1.56.574,2026-06-28T22:06:45,,,9.1.56.574,in
6dc02b0d-f2c3-483f-95b0-28e77c5d631c,Ajaya Kumar,https://play-lh.googleusercontent.com/a/ACg8ocI1sbhCLDV1wXKtGlmQmnsdhPFDUa0uLyF9i6faUGZ5JMUWag=mo,"ajayan,ajayakumar",5,0,,2026-06-28T22:06:34,,,,in
337de7bf-c683-49d0-aba8-da05fdb46d07,சுதாமன் இராமதாஸ்,https://play-lh.googleusercontent.com/a-/ALV-UjV6BLz1GlK3vzx-MhTvtnoaHHw47TX3D3zmPyDOF5JTwJnsm4ig,Nice app I can hear every tamil songs with good quality even old songs also,5,0,9.1.60.1970,2026-06-28T22:05:27,,,9.1.60.1970,in
129d9ce5-3ba0-4055-9e30-ab4d6549d068,Jacqualine ng,https://play-lh.googleusercontent.com/a-/ALV-UjVSjjP1JGiHRGT2nKEHJSjGHOKWk8A5c7wyKk4_u9ypHhewDJau,hungry 😋 🤤,5,0,9.1.60.1970,2026-06-28T22:02:09,,,9.1.60.1970,in
6281ed29-5063-4251-a985-40fed70a313e,KHAUHELO MOKHOABANE,https://play-lh.googleusercontent.com/a-/ALV-UjUzxHGc00zW4EEMfwNJ3yi2LjywWicXmoprbwsktqBfLIgz9nM,Money come to me 🙏,5,0,,2026-06-28T22:01:26,,,,in
1f6e774b-0e7f-4c58-aeeb-7fbd991fbca4,Trissanya McIntosh,https://play-lh.googleusercontent.com/a-/ALV-UjW8wn9ZGQb0IMDu3UVfkohb2ogaaKOTDY4ye3jxWMCk5dW3uY4,why am I paying for an app that only works when it feels like it?,3,0,9.1.60.1970,2026-06-28T22:00:52,,,9.1.60.1970,in
2e181d47-ccf4-4f51-90c1-923cea41213d,Debasish Majumder,https://play-lh.googleusercontent.com/a/ACg8ocJmobOEfaHbDK8JICNZiFsOzXIr5q6moX1lvTuQm4naQ2RHXw=mo,4 star coz too many ads and I don't have the choice to play the same song again and again without talking the subscription 😭 lmao....,4,0,9.1.58.1567,2026-06-28T21:58:06,,,9.1.58.1567,in
bc4fcd99-37b7-458e-8dd6-5528e710ae2f,Aayush Saini,https://play-lh.googleusercontent.com/a/ACg8ocLFEhVg2E9TLcdy4hz3CLdgK2sSU_HLpLpdSRCXHYzwFA_59w=mo,good,5,0,,2026-06-28T21:54:55,,,,in
7cf63291-ad5c-4121-87a6-9dbc48da4c9f,Bubbles,https://play-lh.googleusercontent.com/a-/ALV-UjWIIucv_82oqoyexbU1V9P0bQmZj4LnE3WZbeMNzN2T3skCq4M,"overall, good app, very organised and easy BUT they should add listening streaks with your selected friends (and you can have multiple friends and stuff on the same streak) :D",5,0,9.1.60.1970,2026-06-28T21:53:19,,,9.1.60.1970,in
337de7bf-c683-49d0-aba8-da05fdb46d07,சுதாமன் இராமதாஸ்,https://play-lh.googleusercontent.com/a-/ALV-UjV6BLz1GlK3vzx-MhTvtnoaHHw47TX3D3zmPyDOF5JTwJnsm4ig,Nice app I can hear every tamil songs with good quality even old songs also,5,0,9.1.60.1970,2026-06-28T22:05:27,,,9.1.60.1970,br
129d9ce5-3ba0-4055-9e30-ab4d6549d068,Jacqualine ng,https://play-lh.googleusercontent.com/a-/ALV-UjVSjjP1JGiHRGT2nKEHJSjGHOKWk8A5c7wyKk4_u9ypHhewDJau,hungry 😋 🤤,5,0,9.1.60.1970,2026-06-28T22:02:09,,,9.1.60.1970,br
6281ed29-5063-4251-a985-40fed70a313e,KHAUHELO MOKHOABANE,https://play-lh.googleusercontent.com/a-/ALV-UjUzxHGc00zW4EEMfwNJ3yi2LjywWicXmoprbwsktqBfLIgz9nM,Money come to me 🙏,5,0,,2026-06-28T22:01:26,,,,br
1f6e774b-0e7f-4c58-aeeb-7fbd991fbca4,Trissanya McIntosh,https://play-lh.googleusercontent.com/a-/ALV-UjW8wn9ZGQb0IMDu3UVfkohb2ogaaKOTDY4ye3jxWMCk5dW3uY4,why am I paying for an app that only works when it feels like it?,3,0,9.1.60.1970,2026-06-28T22:00:52,,,9.1.60.1970,br
2e181d47-ccf4-4f51-90c1-923cea41213d,Debasish Majumder,https://play-lh.googleusercontent.com/a/ACg8ocJmobOEfaHbDK8JICNZiFsOzXIr5q6moX1lvTuQm4naQ2RHXw=mo,4 star coz too many ads and I don't have the choice to play the same song again and again without talking the subscription 😭 lmao....,4,0,9.1.58.1567,2026-06-28T21:58:06,,,9.1.58.1567,br
bc4fcd99-37b7-458e-8dd6-5528e710ae2f,Aayush Saini,https://play-lh.googleusercontent.com/a/ACg8ocLFEhVg2E9TLcdy4hz3CLdgK2sSU_HLpLpdSRCXHYzwFA_59w=mo,good,5,0,,2026-06-28T21:54:55,,,,br
7cf63291-ad5c-4121-87a6-9dbc48da4c9f,Bubbles,https://play-lh.googleusercontent.com/a-/ALV-UjWIIucv_82oqoyexbU1V9P0bQmZj4LnE3WZbeMNzN2T3skCq4M,"overall, good app, very organised and easy BUT they should add listening streaks with your selected friends (and you can have multiple friends and stuff on the same streak) :D",5,0,9.1.60.1970,2026-06-28T21:53:19,,,9.1.60.1970,br
9911d3dc-74d8-4865-be32-1653afd2c5d4,Matthew Gerrits,https://play-lh.googleusercontent.com/a-/ALV-UjWHUfryVSF6AjPSXJhCz4Dg-C1EQeVkBmcxfJYrXx3Gv7J383A,"Having paid a significant amount to Spotify over time, I'm disappointed that the app still seems to have trouble working over a home wifi network, even when other devices work, including for Spotify on those devices. Spotify said they fixed this over a year back and the problem has only been getting worse, even after a clean install.",2,0,9.1.60.1970,2026-06-28T21:53:06,"Hi Matthew. If you're having issues with your connection, we'd recommend checking your phone's settings and making sure that the Spotify app has access or permission to your mobile data. More help can be found on ""Spotify is offline"" or by reaching out to our Customer Service at support.spotify.com. Just search for ""Contact Us"".",2026-06-28T23:04:29,9.1.60.1970,br
8cb5accc-5072-471e-8e7a-eab1ba38e1f7,Pumpkin-Lulu,https://play-lh.googleusercontent.com/a-/ALV-UjWjNP3Frm9oF9wxU3DmDLDUmGO4-_NGpmCI3hiEQ2mXAfI_X6M8,"I love Spotify and would definitely recommend it to other people, its one of the apps i use daily and constantly (to be honest its quite addictive to listen to your favourite songs on Spotify) one thing i would suggest is they should get people who are friends on Spotify to have a streak to listen to their songs like other apps. ✌🏻✌🏻✌🏻✌🏻",5,0,8.8.96.364,2026-06-28T21:52:48,,,8.8.96.364,br
a267f19c-11b1-4abf-87ac-bd1ed05909c8,Savita Jain,https://play-lh.googleusercontent.com/a/ACg8ocKj3RRLwVx6M7Q3ZOo_bvviUx0Xz9_u6H3MyqBHbsOTx3EOrg=mo,very awesome,5,0,9.1.58.1567,2026-06-28T21:52:28,,,9.1.58.1567,br
337de7bf-c683-49d0-aba8-da05fdb46d07,சுதாமன் இராமதாஸ்,https://play-lh.googleusercontent.com/a-/ALV-UjV6BLz1GlK3vzx-MhTvtnoaHHw47TX3D3zmPyDOF5JTwJnsm4ig,Nice app I can hear every tamil songs with good quality even old songs also,5,0,9.1.60.1970,2026-06-28T22:05:27,,,9.1.60.1970,au
129d9ce5-3ba0-4055-9e30-ab4d6549d068,Jacqualine ng,https://play-lh.googleusercontent.com/a-/ALV-UjVSjjP1JGiHRGT2nKEHJSjGHOKWk8A5c7wyKk4_u9ypHhewDJau,hungry 😋 🤤,5,0,9.1.60.1970,2026-06-28T22:02:09,,,9.1.60.1970,au
6281ed29-5063-4251-a985-40fed70a313e,KHAUHELO MOKHOABANE,https://play-lh.googleusercontent.com/a-/ALV-UjUzxHGc00zW4EEMfwNJ3yi2LjywWicXmoprbwsktqBfLIgz9nM,Money come to me 🙏,5,0,,2026-06-28T22:01:26,,,,au
1f6e774b-0e7f-4c58-aeeb-7fbd991fbca4,Trissanya McIntosh,https://play-lh.googleusercontent.com/a-/ALV-UjW8wn9ZGQb0IMDu3UVfkohb2ogaaKOTDY4ye3jxWMCk5dW3uY4,why am I paying for an app that only works when it feels like it?,3,0,9.1.60.1970,2026-06-28T22:00:52,,,9.1.60.1970,au
2e181d47-ccf4-4f51-90c1-923cea41213d,Debasish Majumder,https://play-lh.googleusercontent.com/a/ACg8ocJmobOEfaHbDK8JICNZiFsOzXIr5q6moX1lvTuQm4naQ2RHXw=mo,4 star coz too many ads and I don't have the choice to play the same song again and again without talking the subscription 😭 lmao....,4,0,9.1.58.1567,2026-06-28T21:58:06,,,9.1.58.1567,au
bc4fcd99-37b7-458e-8dd6-5528e710ae2f,Aayush Saini,https://play-lh.googleusercontent.com/a/ACg8ocLFEhVg2E9TLcdy4hz3CLdgK2sSU_HLpLpdSRCXHYzwFA_59w=mo,good,5,0,,2026-06-28T21:54:55,,,,au
7cf63291-ad5c-4121-87a6-9dbc48da4c9f,Bubbles,https://play-lh.googleusercontent.com/a-/ALV-UjWIIucv_82oqoyexbU1V9P0bQmZj4LnE3WZbeMNzN2T3skCq4M,"overall, good app, very organised and easy BUT they should add listening streaks with your selected friends (and you can have multiple friends and stuff on the same streak) :D",5,0,9.1.60.1970,2026-06-28T21:53:19,,,9.1.60.1970,au
9911d3dc-74d8-4865-be32-1653afd2c5d4,Matthew Gerrits,https://play-lh.googleusercontent.com/a-/ALV-UjWHUfryVSF6AjPSXJhCz4Dg-C1EQeVkBmcxfJYrXx3Gv7J383A,"Having paid a significant amount to Spotify over time, I'm disappointed that the app still seems to have trouble working over a home wifi network, even when other devices work, including for Spotify on those devices. Spotify said they fixed this over a year back and the problem has only been getting worse, even after a clean install.",2,0,9.1.60.1970,2026-06-28T21:53:06,"Hi Matthew. If you're having issues with your connection, we'd recommend checking your phone's settings and making sure that the Spotify app has access or permission to your mobile data. More help can be found on ""Spotify is offline"" or by reaching out to our Customer Service at support.spotify.com. Just search for ""Contact Us"".",2026-06-28T23:04:29,9.1.60.1970,au
8cb5accc-5072-471e-8e7a-eab1ba38e1f7,Pumpkin-Lulu,https://play-lh.googleusercontent.com/a-/ALV-UjWjNP3Frm9oF9wxU3DmDLDUmGO4-_NGpmCI3hiEQ2mXAfI_X6M8,"I love Spotify and would definitely recommend it to other people, its one of the apps i use daily and constantly (to be honest its quite addictive to listen to your favourite songs on Spotify) one thing i would suggest is they should get people who are friends on Spotify to have a streak to listen to their songs like other apps. ✌🏻✌🏻✌🏻✌🏻",5,0,8.8.96.364,2026-06-28T21:52:48,,,8.8.96.364,au
a267f19c-11b1-4abf-87ac-bd1ed05909c8,Savita Jain,https://play-lh.googleusercontent.com/a/ACg8ocKj3RRLwVx6M7Q3ZOo_bvviUx0Xz9_u6H3MyqBHbsOTx3EOrg=mo,very awesome,5,0,9.1.58.1567,2026-06-28T21:52:28,,,9.1.58.1567,au
