id,videoId,author,text,date,likeCount
UgyIYfeJ8L_RrmEo0X94AaABAg,lnErNM7rjqg,@dailyfactsvaluez,Never used Spotify till date.,2025-08-12T14:35:25Z,37
UgwCjDujbqtwCmJwACR4AaABAg,lnErNM7rjqg,@sadhamhusain782,Ithu enna app bro atha solluga first,2026-03-24T18:16:53Z,0
Ugx2ru1MNUfx0enycBZ4AaABAg,lnErNM7rjqg,@yashthakkar6889,everything is good in video bt what is the name of app😂,2025-08-10T17:59:41Z,55
UgwwiGeRK9E8TH0obKV4AaABAg,lnErNM7rjqg,@adityakulkarni6708,"if you're iphone user and can pay ₹119 per month, apple music is the way to go. it plays songs at Hi-Fi Loseless quality.",2025-08-16T12:14:43Z,17
UgzxwaTzxx2A2jK8vD14AaABAg,lnErNM7rjqg,@baemac88,even in android it offers background music which is sick af,2025-12-12T03:26:34Z,0
Ugxxm6Du7jKPnRnDbBd4AaABAg,lnErNM7rjqg,@amiguel77,"Using chinese Mi music.. best one seen so far.. it has every single songs and cover is better than ios on xiaomi phones no ads, landscape mode, lyrics in notification shade, desktop lyrics, free unlimited playlist and many more and cover is so cute and dynamic",2025-08-11T05:59:09Z,6
UgwJCRkPFkEP1QswXWJ4AaABAg,lnErNM7rjqg,@notreeshabh,They cannot name the app as it's piracy app.,2025-08-05T13:24:49Z,115
Ugx7pdr5WQWng66LnuV4AaABAg,lnErNM7rjqg,@safatraihansakib1638,If youtube was only showing dislike count,2026-03-03T11:26:02Z,10
UgyA7gkUauc_t1DGk294AaABAg,lnErNM7rjqg,@Manju.PS5555,What is that app you are talking about?. Atleast say the name of the app 🤷🏻,2025-08-07T17:03:17Z,135
Ugyj8rCOjT9w2RMrgd14AaABAg,lnErNM7rjqg,@immanto2,"""Sir the app name?""
Sir: Hey I guess we'll never know",2025-08-29T14:16:40Z,5
UgxHrH-LRRpTycY0U-F4AaABAg,lnErNM7rjqg,@indrajothiindrajothi4923,Dai ena da olara siva😂,2026-04-09T15:52:02Z,0
UgxJoU6RD-Hzcd6zQb54AaABAg,lnErNM7rjqg,@sudiptokumar986,Am I the only one who is unable to find his recommendation?,2025-08-05T11:52:48Z,95
UgxXSZtpv2Q-E9Hwi1h4AaABAg,lnErNM7rjqg,@AyushJain9709255711,Where to download from?,2025-08-05T11:37:54Z,12
Ugw0V0D-ll06Mtyrr7Z4AaABAg,lnErNM7rjqg,@ragzphotos5265,Bro which one is the alternative to Spotify???,2026-02-07T21:24:13Z,0
UgwxaPIwbG2nouU0W6Z4AaABAg,lnErNM7rjqg,@rajrao20,Which is this app? (Spotify alternative),2025-08-20T17:56:59Z,5
UgyO64zpT_eDkE6EAhN4AaABAg,lnErNM7rjqg,@onealwaysone,Main problem ye hai ki meri itni badi liked gano ki playlist thi 😭 😭 use chhodna bhi nhi chahta,2026-02-19T09:53:24Z,4
UgyF0LDelWW4z7hhRON4AaABAg,aPar3BMd45Q,@daniilbeznosiuk-music,"Answer like an artist:
100% Apple Music.",2025-05-24T21:36:32Z,2684
UgwJpTr8NHlhKuC-tiF4AaABAg,aPar3BMd45Q,@LucasBenicá,"if you know what you want to listen: Apple Music
if you don't know / don't wanna choose: Spotify",2025-06-08T17:22:20Z,1720
UgzyL9LgF8sVu0eE69N4AaABAg,aPar3BMd45Q,@sigmaclipfarmer,i would choose apple music if they had unreleased songs too,2025-03-21T17:25:17Z,776
Ugybsw3OVaAPN4vPpPF4AaABAg,aPar3BMd45Q,@rigor_ii-i,Apple Music for sound quality and lyrics quality. It’s also cheaper than Spotify at the moment.,2025-06-10T15:17:21Z,281
UgwzEeNl45RUbk0LPjB4AaABAg,aPar3BMd45Q,@Maximilian-2023,Apple Music look cleaner,2024-01-16T19:02:45Z,1210
Ugw1I5moKmKXrOFYiVh4AaABAg,aPar3BMd45Q,@playzfault,I use apple,2024-01-17T02:43:32Z,407
UgzAaO4hTejv5-O09UV4AaABAg,aPar3BMd45Q,@JuzTroublez,I choose Spotify because they're more Indie friendly. You get to hear so many more interesting independent artists who are willing to experiment.,2025-08-11T21:23:24Z,80
UgyXhzFLzh5imwuuHCt4AaABAg,aPar3BMd45Q,@chydi10,Apple Music is much better but Spotify has some really cool features and is popular.,2025-05-27T15:21:47Z,79
Ugx_MklA81lGHliFJoV4AaABAg,aPar3BMd45Q,@educayshunalvideos3561,"Algorithm: Spotify
UI: Apple",2024-01-16T20:21:43Z,425
Ugwj4ICh5OvbEQW1oaZ4AaABAg,aPar3BMd45Q,@guyarthurorigin,"In Apple Music, you can listen to your favorite songs in a way you've never heard them before. Dolby Spatial Audio is one of the coolest features of Apple Music. The vocals are clearer, the instruments sound better, the bass is well-balanced, and the album cover effects are cool too.",2025-08-19T15:46:29Z,66
UgxAoBBWrfSkRdp04Sl4AaABAg,aPar3BMd45Q,@mrboss20ten,Spotify needs a modern UI. Apple Music is colorful and alive almost. But I use both,2025-08-13T11:49:14Z,8
Ugxw3Dxmo9dBN0ZinQF4AaABAg,aPar3BMd45Q,@JayaKovagani,Lossless is best forever nd ever ❤❤,2024-01-23T16:08:53Z,119
Ugw6a414ffwkbLWEmq54AaABAg,aPar3BMd45Q,@tbtnr9851,"Apple Music audio quality is better.
Spotify is better for convenience, discovery and app fluidity.",2025-06-11T09:03:56Z,23
UgzzmXrpqfJlOPxbpXh4AaABAg,aPar3BMd45Q,@FunkyBeats2004,Karaoke on Apple music is 🔥,2025-02-22T17:32:18Z,84
Ugx_0IWqwYNCC6Mahm94AaABAg,aPar3BMd45Q,@esdeathyolo,Youtube music bro you can find all kind of music àd remix you want,2025-05-08T12:59:22Z,53
UgyhcCof19ZQ5WUDOHV4AaABAg,aPar3BMd45Q,@alexisgiselle,Spotify all dayyyyyyy,2024-01-16T15:49:29Z,69
Ugyi5gNS9Szalin_F814AaABAg,aPar3BMd45Q,@DICALITAR,"I like Spotify for it’s aesthetics and algorithms. And ease of use.

Apple Music feels a little too rigid for me if that makes sense. Though the lossless audio and lyrics seem better and in some ways I can appreciate the UI over Spotify’s too",2025-06-29T05:48:32Z,12
UgylpB3zN_OIX0ijGO14AaABAg,aPar3BMd45Q,@ForestGreenary,Spotify 4 Ever .. SLAYYY,2024-01-16T15:28:44Z,60
Ugwn510agOrQ12z5ORJ4AaABAg,aPar3BMd45Q,@DanBlox_00,Apple Music,2024-01-19T02:04:36Z,58
UgyYY2HU7yoFXLEzmBh4AaABAg,aPar3BMd45Q,@Somekidthatsontheinternet,Apple Music sound quality is so much better,2025-04-16T22:23:40Z,47
UgxbV_vkEbyCuKEeQqd4AaABAg,aPar3BMd45Q,@Xyntr1x,How did you get the black background on Apple Music?,2025-05-21T18:04:02Z,8
Ugzz1bRyh7M6C04yqr14AaABAg,aPar3BMd45Q,@yb6038,"Used Spotify for years then they put their prices up and Apple Music gave me a 3 month trial so now I use them, plus it just makes sense to use their service when I use an iPhone",2025-08-11T08:27:09Z,2
UgxxRlyQgMJoIuhV-U14AaABAg,aPar3BMd45Q,@Mejustcomeback224,I use spotify for years but have to say Apple Music is something different,2025-05-20T15:56:15Z,37
Ugx2LCIdHtYQbEZbL1R4AaABAg,aPar3BMd45Q,@art.j.4559,Apple Music app and especially the desktop version feels like there is 2 people employed there on a part-time schedule,2025-07-20T10:26:34Z,0
UgwwEy_k2idVFdvMDW54AaABAg,aPar3BMd45Q,@dponpon6929,"I am using both, and Spotify is best in terms of layout and overall functionality. Apple Music is the absolute best in streaming quality.",2025-08-15T10:46:24Z,7
UgxX_63GYvXKkIz_svB4AaABAg,aPar3BMd45Q,@Spectroblad3,How do you get those colors in Apple Music,2025-12-03T22:45:13Z,0
UgzzA1FL-_o4FHWEhq54AaABAg,aPar3BMd45Q,@xbox12sabastian,"Lyrics: Apple Music
Everything else: Spotify (Premium)",2025-06-07T19:04:30Z,33
UgyeH-R_2CYF6h16-2J4AaABAg,aPar3BMd45Q,@ЯрославМогилевский-ь1з,Apple Lossless ❤,2025-02-16T18:00:10Z,39
UgxjOve5t0kpbIAXGKR4AaABAg,aPar3BMd45Q,@Selfishlyhim6od,"I wouldn’t have discovered songs that i needed to have in my library without randomly going through the vibes on Spotify, it’s both for me.",2026-01-15T18:18:20Z,0
UgxlI6-YzBq9eQDto4d4AaABAg,aPar3BMd45Q,@SchniderWise,I use all 3 Apple Music From Monday to Friday with a little bit of YouTube music sometimes during the day then Spotify on Friday to hear new Rapcaviar songs .,2025-08-24T01:45:46Z,0
UgxnxPb4I_TIFsD7UMl4AaABAg,aPar3BMd45Q,@rovayml,"The Apple Music user interface has been updated and is very similar to Spotify, talking about the animation of the album",2025-10-11T15:19:52Z,0
UgzFqOl216me_DGNWgN4AaABAg,aPar3BMd45Q,@salimkhandaker1664,Why doesnt my spotify's ui show like this ? (Phone's android),2025-07-07T22:06:36Z,0
Ugzd4s81EQ1HHCIOVT54AaABAg,aPar3BMd45Q,@NHDQHD,Both similer but i need the free one so it's Spotify,2026-01-20T18:16:39Z,1
UgyRXgclc6N7z3CXdfZ4AaABAg,aPar3BMd45Q,@marquesmartins1450,"Apple Music não possui equalizador manual, entre outras funções limitadas.",2026-04-21T21:25:21Z,0
Ugyoo-AhuwyujhKBsnJ4AaABAg,aPar3BMd45Q,@IsaiahF712-b3x,I love the live lyrics feature on apple music wish Spotify would get it too,2025-12-16T06:05:25Z,0
Ugw26XVQVp9m5_uBYAJ4AaABAg,aPar3BMd45Q,@GLockLA,I literally use both like every single day. lol,2025-08-19T14:26:13Z,0
UgzJRc2zPWsfwrNXXBN4AaABAg,aPar3BMd45Q,@PawTheory,This shi hard gng,2025-04-26T16:16:56Z,0
UgxrYb-0ikemISG5SKt4AaABAg,aPar3BMd45Q,@chimichanga6089,"The only thing I like about Spotify is that it plays songs from different albums that aren’t mainstream 

Apple just plays the most streamed songs by artists in a loop at times",2025-08-08T14:09:26Z,4
UgwrrmVVbJfDL0hTVO14AaABAg,aPar3BMd45Q,@HELLISH_GOD_999,At least to some extent spotify is free but apple music isn’t free at all😂,2025-08-03T07:14:03Z,9
Ugyez8Zq7xsffSd50CF4AaABAg,aPar3BMd45Q,@datonepkmntrainer,"I’ve had both at the same time & I still prefer Spotify, might get Apple Music again just cause (actually cause of the beautiful Apple UI it’s smooth)",2025-07-15T19:16:58Z,1
UgxkOhzluLiX_pgWhSV4AaABAg,aPar3BMd45Q,@braedonmorrissey7548,Apple is soon going to have a very similar look to Spotify on the Lock Screen with iOS26 aren’t they?,2025-09-15T00:38:19Z,0
UgxwT-g9dVoRVTO6b0d4AaABAg,aPar3BMd45Q,@Saytan_billa,i need hindi song but language Hindi ( english ) wala lyrics,2025-08-26T02:58:29Z,0
UgyUnoHaoSi4hZOTTLZ4AaABAg,aPar3BMd45Q,@sammyetc,"Maybe you should turn off the ‘increase contrast’ setting on the iPhone before comparing the two, it’s definitely not a black background normally",2025-12-15T23:17:05Z,0
Ugz7CPOv69itMzIz7Il4AaABAg,aPar3BMd45Q,@88medoff,Already done 8 years with Apple Music ❤️,2025-06-27T00:19:25Z,1
UgyfcEuKzYBP33nTYpp4AaABAg,aPar3BMd45Q,@joegarcia6276,On a phone it's not the best sound quality you need a dap to get the most out of both of them haha,2025-10-06T15:34:34Z,0
